xpath,module,type,enum,kind,description,default,platforms
 2 database,^,,,a,,,A
 2 statistics,^,,,a,,,A
 2 version,^,,,a,,,A
  mpls,^,,,a,,,A
 2 forwarding-policies,^,,,a,,,A
 3 binding-label,^,,,a,,,A
 3 forwarding-policy,^,,,a,,,A
 2 interface,^,,,a,,,A
 2 lsp,^,,,a,,,A
 3 auto-lsp,^,,,a,,,A
 4 rsvp-te,^,,,a,,,A
 4 sr-te,^,,,a,,,A
 3 lsp-self-ping,^,,,a,,,C
 3 rsvp-te,^,,,a,,,A
 3 sr-te,^,,,a,,,A
 2 lsp-autobandwidth,^,,,a,,,A
 2 lsp-egress-stats,^,,,a,,,A
 2 lsp-history,^,,,a,,,A
 2 lsp-ingress-stats,^,,,a,,,A
 2 lsp-self-ping,^,,,a,,,C
 2 sr-te-lsp-egress-stats,^,,,a,,,A
  msdp,^,,,a,,,A
 2 cache,^,,,a,,,A
 2 statistics,^,,,a,,,A
  neighbor,^,,,a,,,A
  origin-validation,^,,,a,,,A
  ospf,^,,,a,,,A
 2 database,^,,,a,,,A
 2 export,^,,,a,,,A
 2 neighbor,^,,,a,,,A
 2 overload,^,,,a,,,A
 2 sid-egress-stats,^,,,a,,,A
 2 sid-ingress-stats,^,,,a,,,A
 2 statistics,^,,,a,,,A
  ospf3,^,,,a,,,A
 2 database,^,,,a,,,A
 2 export,^,,,a,,,A
 2 neighbor,^,,,a,,,A
 2 overload,^,,,a,,,A
 2 sid-egress-stats,^,,,a,,,A
 2 sid-ingress-stats,^,,,a,,,A
 2 statistics,^,,,a,,,A
  pcep,^,,,a,,,A
 2 pcc,^,,,a,,,A
 3 peer,^,,,a,,,A
 2 pce,^,,,a,,,
 3 peer,^,,,a,,,
  pcp-server,^,,,a,,,D
  pim,^,,,a,,,A
 2 database,^,,,a,,,A
 2 neighbor,^,,,a,,,A
 2 s-pmsi,^,,,a,,,A
 2 statistics,^,,,a,,,A
  radius-proxy-server,^,,,a,,,B
  rib-api,^,,,a,,,A
 2 label,^,,,a,,,A
 2 tunnel,^,,,a,,,A
  rip,^,,,a,,,A
 2 database,^,,,a,,,A
 2 export,^,,,a,,,A
 2 statistics,^,,,a,,,A
  ripng,^,,,a,,,A
 2 database,^,,,a,,,A
 2 export,^,,,a,,,A
 2 statistics,^,,,a,,,A
  router-advertisement,^,,,a,,,A
  rsvp,^,,,a,,,A
 2 interface,^,,,a,,,A
 2 statistics,^,,,a,,,A
  segment-routing,^,,,a,,,A
 2 sr-policies,^,,,a,,,A
 3 egress-statistics,^,,,a,,,A
 3 ingress-statistics,^,,,a,,,A
  srrp,^,,,a,,,A
 2 interface,^,,,a,,,A
 2 statistics,^,,,a,,,A
  vrrp,^,,,a,,,A
 2 interface,^,,,a,,,A
 2 statistics,^,,,a,,,A
  wlan-gw,^,,,a,,,E
 2 isa-subnets,^,,,a,,,E
 2 mgw-address-cache,^,,,a,,,E
 2 mobile-gateway,^,,,a,,,E
  wpp,^,,,a,,,B
 2 hosts-logging-out,^,,,a,,,B
 2 statistics,^,,,a,,,B
 saa,^,,,a,,,A
 screen,^,,,a,,,A
 service,^,,,a,,,A
  dynamic-services,^,,,a,,,B
 2 data-trigger,^,,,a,,,B
  id,^,,,a,,,A
 2 arp,^,,,a,,,A
 2 arp-host,^,,,a,,,B
 2 authentication,^,,,a,,,A
 3 statistics,^,,,a,,,A
 2 bmp,^,,,a,,,A
 3 station,^,,,a,,,A
 2 dhcp,^,,,a,,,A
 3 lease-state,^,,,a,,,A
 3 statistics,^,,,a,,,A
 2 dhcp6,^,,,a,,,A
 3 lease-state,^,,,a,,,A
 3 statistics,^,,,a,,,A
 2 dynamic-services,^,,,a,,,B
 3 capture-sap,^,,,a,,,B
 2 evpn,^,,,a,,,A
 2 fdb,^,,,a,,,A
 2 gsmp,^,,,a,,,A
 3 statistics,^,,,a,,,A
 2 host-tracking,^,,,a,,,A
 2 igmp-snooping,^,,,a,,,A
 3 port-db,^,,,a,,,A
 3 querier,^,,,a,,,A
 3 statistics,^,,,a,,,A
 2 ipoe,^,,,a,,,B
 3 session,^,,,a,,,B
 2 managed-hosts,^,,,a,,,B
 2 mesh-sdp,^,,,a,,,A
 2 mfib,^,,,a,,,A
 3 statistics,^,,,a,,,A
 2 mld-snooping,^,,,a,,,A
 3 port-db,^,,,a,,,A
 3 querier,^,,,a,,,A
 3 statistics,^,,,a,,,A
 2 msap,^,,,a,,,B
 2 msap-policy,^,,,a,,,B
 2 neighbor,^,,,a,,,A
 2 pim-snooping,^,,,a,,,A
 3 database,^,,,a,,,A
 3 neighbor,^,,,a,,,A
 3 statistics,^,,,a,,,A
 2 ppp,^,,,a,,,B
 3 session,^,,,a,,,B
 3 statistics,^,,,a,,,B
 2 pppoe,^,,,a,,,B
 3 statistics,^,,,a,,,B
 2 proxy-arp,^,,,a,,,A
 3 duplicate,^,,,a,,,A
 3 dynamic,^,,,a,,,A
 2 proxy-nd,^,,,a,,,A
 3 duplicate,^,,,a,,,A
 3 dynamic,^,,,a,,,A
 2 ptp,^,,,a,,,C
 3 peer,^,,,a,,,C
 2 sap,^,,,a,,,A
 3 queue-depth,^,,,a,,,A
 2 site,^,,,a,,,A
 2 slaac,^,,,a,,,B
 3 host,^,,,a,,,B
 2 spb,^,,,a,,,A
 3 adjacency,^,,,a,,,A
 3 database,^,,,a,,,A
 3 spf-log,^,,,a,,,A
 3 statistics,^,,,a,,,A
 2 spoke-sdp,^,,,a,,,A
 2 stp,^,,,a,,,A
 3 detected-protocols,^,,,a,,,A
 2 subscriber-hosts,^,,,a,,,D
 3 statistics,^,,,a,,,D
  statistics,^,,,a,,,A
 2 dynamic-services,^,,,a,,,B
 2 id,^,,,a,,,A
 3 cem,^,,,a,,,C
 3 counters,^,,,a,,,A
 3 l2pt,^,,,a,,,A
 3 mesh-sdp,^,,,a,,,A
 3 mrp,^,,,a,,,A
 3 pip,^,,,a,,,A
 3 spoke-sdp,^,,,a,,,A
 3 stp,^,,,a,,,A
 2 sap,^,,,a,,,A
 2 sdp,^,,,a,,,A
 2 subscriber,^,,,a,,,A
 sfm,^,,,a,,,h
 subscriber-mgmt,^,,,a,,,B
  accu-stats,^,,,a,,,B
  ancp,^,,,a,,,B
  authentication,^,,,a,,,B
 2 coa-statistics,^,,,a,,,B
  diameter-application-policy,^,,,a,,,B
  diameter-session,^,,,a,,,B
 2 ccrt-replay,^,,,a,,,B
  errors,^,,,a,,,B
  gtp,^,,,a,,,E
  host-lockout-policy,^,,,a,,,B
  host-tracking,^,,,a,,,B
 2 subscriber,^,,,a,,,B
  idle-only-msap,^,,,a,,,B
  interface-statistics,^,,,a,,,B
  isa-filter,^,,,a,,,E
 2 ipv4,^,,,a,,,E
 2 ipv6,^,,,a,,,E
  isa-service-chaining,^,,,a,,,D
  msap-policy,^,,,a,,,B
  peakvalue-stats,^,,,a,,,B
  pfcp,^,,,a,,,B
 2 up-resiliency,^,,,a,,,B
 3 fate-sharing-group,^,,,a,,,B
  pfcp-association,^,,,a,,,B
  pfcp-session,^,,,a,,,B
  radius-accounting,^,,,a,,,B
  sap-template,^,,,a,,,B
  statistics,^,,,a,,,B
  svlan-statistics,^,,,a,,,B
  system-statistics,^,,,a,,,B
  vrgw,^,,,a,,,B
 2 brg,^,,,a,,,B
 3 gateway,^,,,a,,,B
  wlan-gw,^,,,a,,,E
 system,^,,,a,,,A
  management-interface,^,,,a,,,A
 2 remote-management,^,,,a,,,A
 3 manager,^,,,a,,,A
 3 statistics,^,,,a,,,A
  ptp,^,,,a,,,C
 2 clock-recovery,^,,,a,,,C
 2 inactive-peers,^,,,a,,,C
 2 peer,^,,,a,,,C
 2 port,^,,,a,,,C
 3 neighbor,^,,,a,,,C
 4 ptsf-unusable,^,,,a,,,C
 3 statistics,^,,,a,,,C
 2 statistics,^,,,a,,,C
  reboot-required,^,,,a,,,A
  satellite,^,,,a,,,C
 2 eth-sat,^,,,a,,,C
 3 sync-if-timing,^,,,a,,,C
 2 tdm-sat,^,,,a,,,K
 3 sync-if-timing,^,,,a,,,K
  script-control,^,,,a,,,A
 2 script-policy,^,,,a,,,A
 3 completed,^,,,a,,,A
  statistics,^,,,a,,,A
  sync-if-timing,^,,,a,,,C
 tacplus,^,,,a,,,A
 test-oam,^,,,a,,,C
  oam-perf,^,,,a,,,C
  service-activation-testhead,^,,,a,,,J
  twamp,^,,,a,,,C
 2 server,^,,,a,,,C
 video,^,,,a,,,H
  id,^,,,a,,,H
 2 session,^,,,a,,,H
  statistics,^,,,a,,,H
 2 id,^,,,a,,,H
 3 channel,^,,,a,,,H
 3 interface,^,,,a,,,H
 3 session,^,,,a,,,H
 2 isa,^,,,a,,,H
 vrrp,^,,,a,,,A
  statistics,^,,,a,,,A
 wlan-gw,^,,,a,,,E
  isa,^,,,a,,,E
 2 wlan-gw-group,^,,,a,,,E
 xiom,^,,,a,,,d
configure,^,,,c,,,A
 aaa,^,,,c,,,B
  acct-on-off-group,^,,,c,,,B
 2 description,^,,,c,,,B
  diameter,^,,,c,,,B
 2 node,^,,,c,,,B
 3 connection-timer,^,,,c,,,B
 3 description,^,,,c,,,B
 3 ipv6-source-address,^,,,c,,,B
 3 peer,^,,,c,,,B
 4 address,^,,,c,,,B
 4 connection-timer,^,,,c,,,B
 4 default-peer,^,,,c,,,B
 4 preference,^,,,c,,,B
 4 route,^,,,c,,,B
 5 preference,^,,,c,,,B
 4 shutdown,^,,,c,,,B
 4 watchdog-timer,^,,,c,,,B
 3 python-policy,^,,,c,,,B
 3 router,^,,,c,,,B
 3 source-address,^,,,c,,,B
  isa-radius-policy,^,,,c,,,D
 2 acct-include-attributes,^,,,c,,,D
 3 acct-delay-time,^,,,c,,,D
 3 acct-trigger-reason,^,,,c,,,D
 3 called-station-id,^,,,c,,,D
 3 calling-station-id,^,,,c,,,D
 3 circuit-id,^,,,c,,,D
 3 class,^,,,c,,,D
 3 credit-control-quota,^,,,c,,,E
 3 dhcp-options,^,,,c,,,D
 3 dhcp-vendor-class-id,^,,,c,,,D
 3 dhcp6-options,^,,,c,,,E
 3 frame-counters,^,,,c,,,D
 3 framed-ip-addr,^,,,c,,,D
 3 framed-ip-netmask,^,,,c,,,D
 3 framed-ipv6-prefix,^,,,c,,,E
 3 hardware-timestamp,^,,,c,,,D
 3 inside-service-id,^,,,c,,,D
 3 ipv6-address,^,,,c,,,E
 3 mac-address,^,,,c,,,D
 3 millisecond-event-timestamp,^,,,c,,,E
 3 multi-session-id,^,,,c,,,D
 3 nas-identifier,^,,,c,,,D
 3 nas-ip-address,^,,,c,,,D
 3 nas-ipv6-address,^,,,c,,,D
 3 nas-port,^,,,c,,,D
 3 nas-port-id,^,,,c,,,D
 3 nas-port-type,^,,,c,,,D
 3 nat-subscriber-string,^,,,c,,,D
 3 octet-counters,^,,,c,,,D
 3 outside-ip,^,,,c,,,D
 3 outside-service-id,^,,,c,,,D
 3 port-forward-logging,^,,,c,,,D
 3 port-range-block,^,,,c,,,D
 3 port-time,^,,,c,,,D
 3 release-reason,^,,,c,,,D
 3 remote-id,^,,,c,,,D
 3 session-time,^,,,c,,,D
 3 subscriber-data,^,,,c,,,D
 3 subscriber-id,^,,,c,,,D
 3 ue-creation-type,^,,,c,,,D
 3 user-name,^,,,c,,,D
 3 wifi-rssi,^,,,c,,,D
 3 wifi-ssid-vlan,^,,,c,,,D
 3 wlan-custom-user-group,^,,,c,,,E
 3 xconnect-tunnel-home-address,^,,,c,,,E
 3 xconnect-tunnel-local-ipv6-address,^,,,c,,,E
 3 xconnect-tunnel-remote-ipv6-address,^,,,c,,,E
 3 xconnect-tunnel-service,^,,,c,,,E
 3 xconnect-tunnel-type,^,,,c,,,E
 2 acct-update-triggers,^,,,c,,,E
 3 address-state,^,,,c,,,E
 3 soft-quota-exhausted,^,,,c,,,E
 2 auth-include-attributes,^,,,c,,,D
 3 called-station-id,^,,,c,,,D
 3 calling-station-id,^,,,c,,,D
 3 circuit-id,^,,,c,,,D
 3 dhcp-options,^,,,c,,,D
 3 dhcp-vendor-class-id,^,,,c,,,D
 3 dhcp6-options,^,,,c,,,E
 3 framed-ip-addr,^,,,c,,,D
 3 ipv6-address,^,,,c,,,E
 3 mac-address,^,,,c,,,D
 3 nas-identifier,^,,,c,,,D
 3 nas-ip-address,^,,,c,,,D
 3 nas-ipv6-address,^,,,c,,,D
 3 nas-port,^,,,c,,,D
 3 nas-port-id,^,,,c,,,D
 3 nas-port-type,^,,,c,,,D
 3 remote-id,^,,,c,,,D
 3 wifi-ssid-vlan,^,,,c,,,D
 3 xconnect-tunnel-home-address,^,,,c,,,E
 2 description,^,,,c,,,D
 2 nas-ip-address-origin,^,,,c,,,D
 2 password,^,,,c,,,D
 2 periodic-update,^,,,c,,,D
 2 python-policy,^,,,c,,,N
 2 servers,^,,,c,,,D
 3 access-algorithm,^,,,c,,,D
 3 ipv6,^,,,c,,,D
 4 mtu,^,,,c,,,D
 4 source-prefix,^,,,c,,,D
 3 retry,^,,,c,,,D
 3 router,^,,,c,,,D
 3 server,^,,,c,,,D
 4 accounting,^,,,c,,,D
 4 authentication,^,,,c,,,D
 4 coa,^,,,c,,,D
 4 ip-address,^,,,c,,,D
 4 secret,^,,,c,,,D
 4 shutdown,^,,,c,,,D
 3 source-address-range,^,,,c,,,D
 3 timeout,^,,,c,,,D
 2 user-name-format,^,,,c,,,D
  l2tp-accounting-policy,^,,,c,,,B
 2 accounting-type,^,,,c,,,B
 2 acct-tunnel-connection-fmt,^,,,c,,,B
 2 description,^,,,c,,,B
 2 include-radius-attribute,^,,,c,,,B
 3 calling-station-id,^,,,c,,,B
 3 nas-identifier,^,,,c,,,B
 3 nas-port,^,,,c,,,B
 3 nas-port-id,^,,,c,,,B
 3 nas-port-type,^,,,c,,,B
 2 radius-accounting-server,^,,,c,,,B
 3 access-algorithm,^,,,c,,,B
 3 retry,^,,,c,,,B
 3 router,^,,,c,,,B
 3 server,^,,,c,,,B
 3 source-address,^,,,c,,,B
 3 timeout,^,,,c,,,B
 2 radius-server-policy,^,,,c,,,B
 2 request-script-policy,^,,,c,,,B
  radius-coa-port,^,,,c,,,B
  radius-script-policy,^,,,c,,,B
 2 action-on-fail,^,,,c,,,B
 2 description,^,,,c,,,B
 2 primary,^,,,c,,,B
 3 script-url,^,,,c,,,B
 3 shutdown,^,,,c,,,B
 2 secondary,^,,,c,,,B
 3 script-url,^,,,c,,,B
 3 shutdown,^,,,c,,,B
  radius-server-policy,^,,,c,,,B
 2 accept-script-policy,^,,,c,,,B
 2 acct-on-off,^,,,c,,,B
 2 acct-request-script-policy,^,,,c,,,B
 2 auth-request-script-policy,^,,,c,,,B
 2 description,^,,,c,,,B
